Year,Colima,Baja California Sur,Guerrero,Baja California,Chihuahua,Sinaloa,Zacatecas,Guanajuato,Michoacán de Ocampo,Nayarit,Morelos,Tamaulipas,Quintana Roo,Sonora
2008,9,6,30,33,76,30,7,5,15,15,12,8,11,17
2009,9,5,54,48,105,51,9,9,21,18,15,10,11,21
2010,20,8,45,47,182,85,9,8,16,49,27,28,11,27
2011,24,6,70,25,126,69,19,11,19,52,25,32,12,20
2012,39,5,76,17,77,48,30,12,18,25,36,46,11,19
2013,32,7,65,23,59,42,28,12,20,19,34,25,11,23
2014,20,12,49,21,48,39,13,14,20,14,23,26,8,23
2015,31,24,68,25,42,37,21,17,19,12,24,19,9,20
2016,82,30,71,32,47,43,36,21,29,12,33,22,12,19
2017,113,91,71,60,59,53,43,38,36,36,32,32,27,25
