Entidadfederativaderegistro,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017p
Aguascalientes,59,67,75,82,45,45,46,45,46,83
BajaCalifornia,1031,1530,1528,809,581,767,717,854,1152,2144
BajaCaliforniaSur,38,34,55,42,37,47,92,180,238,740
Campeche,54,58,48,47,80,71,78,67,93,76
CoahuiladeZaragoza,180,278,449,730,1160,800,469,313,257,273
Colima,57,61,131,163,265,225,140,227,613,848
Chiapas,263,514,199,186,390,492,460,539,552,593
Chihuahua,2601,3671,6407,4500,2772,2133,1755,1540,1788,2221
CiudaddeMéxico,930,979,1077,1101,1086,1111,1099,1080,1279,1315
Durango,420,1013,1109,1063,822,473,348,198,214,197
Guanajuato,295,491,445,615,684,702,800,970,1232,2252
Guerrero,1005,1855,1555,2416,2646,2283,1729,2424,2594,2578
Hidalgo,75,146,112,211,162,167,210,233,219,317
Jalisco,542,679,1072,1529,1560,1491,1038,1230,1300,1582
México,1579,1860,2111,2623,2907,3311,2908,2693,2768,3046
MichoacándeOcampo,658,936,723,855,827,922,932,874,1428,1661
Morelos,215,259,493,456,671,629,438,469,659,626
Nayarit,155,197,539,587,285,224,174,144,149,462
NuevoLeón,241,343,951,2174,1832,926,574,473,627,663
Oaxaca,616,597,733,682,695,762,745,808,796,858
Puebla,354,359,376,437,465,557,568,632,735,1070
Querétaro,74,89,74,109,112,119,106,140,137,217
QuintanaRoo,144,141,145,163,154,164,125,145,193,450
SanLuisPotosí,199,210,366,364,454,302,269,266,332,500
Sinaloa,824,1435,2423,1990,1395,1220,1156,1098,1303,1617
Sonora,436,571,738,542,525,658,669,585,580,752
Tabasco,153,173,193,230,195,246,235,372,431,438
Tamaulipas,266,315,935,1077,1561,880,913,682,807,1174
Tlaxcala,53,81,57,87,75,91,88,80,96,125
VeracruzdeIgnaciodelaLlave,340,693,461,1000,1019,765,883,1006,1293,1555
Yucatán,49,37,34,53,41,49,47,58,64,50
Zacatecas,100,131,143,290,464,431,199,337,584,691
EstadosUnidosMexicanos,14006,19803,25757,27213,25967,23063,20010,20762,24559,31174
